id,age_at_entry,income_level,health_score,pension_contrib_rate,true_event_time,censor_time,time_to_event,event_observed,method
140,48,41601.84,74.2,0.079,10.524,19.85,10.524,1,zero
141,39,55223.45,71.7,0.055,16.493,16.106,16.106,0,zero
142,56,28290.71,64.0,0.108,6.75,25.0,6.75,1,zero
143,56,50907.52,88.3,0.119,11.574,8.722,8.722,0,zero
144,48,45512.68,57.6,0.053,18.687,25.0,18.687,1,zero
145,36,42797.11,63.8,0.103,17.587,1.844,1.844,0,zero
146,26,45336.79,58.8,0.098,9.543,2.795,2.795,0,zero
147,27,28471.13,90.4,0.097,45.913,25.0,25.0,0,zero
148,41,25639.04,83.5,0.116,11.571,7.536,7.536,0,zero
149,26,60517.94,55.8,0.074,25.222,25.0,25.0,0,zero
150,26,37975.33,61.7,0.091,22.711,25.0,22.711,1,zero
151,52,37804.08,62.1,0.104,13.088,15.029,13.088,1,zero
152,47,26772.29,64.5,0.073,7.742,24.59,7.742,1,zero
153,56,22218.66,59.6,0.073,13.501,7.908,7.908,0,zero
154,57,38940.17,63.9,0.059,4.296,25.0,4.296,1,zero
155,25,35900.94,80.0,0.1,21.492,18.432,18.432,0,zero
156,43,40020.81,89.5,0.092,11.384,6.952,6.952,0,zero
157,26,41045.85,54.6,0.071,20.193,25.0,20.193,1,zero
158,50,69873.53,59.6,0.068,10.796,24.702,10.796,1,zero
159,56,35937.04,72.1,0.037,19.392,23.16,19.392,1,zero
160,30,58959.28,54.2,0.031,12.973,25.0,12.973,1,zero
161,56,59704.29,72.4,0.078,31.979,15.391,15.391,0,zero
162,28,49043.49,75.4,0.068,40.987,17.303,17.303,0,zero
163,35,37178.48,77.0,0.102,12.883,2.356,2.356,0,zero
164,41,23662.33,75.1,0.079,10.322,25.0,10.322,1,zero
165,48,45735.33,64.6,0.114,17.981,5.052,5.052,0,zero
166,29,52225.74,68.2,0.048,7.58,21.008,7.58,1,zero
167,58,60972.25,58.2,0.119,4.116,24.038,4.116,1,zero
168,30,28600.5,74.6,0.057,6.993,25.0,6.993,1,zero
169,46,37077.68,86.0,0.088,17.203,1.951,1.951,0,zero
170,35,28673.62,74.6,0.075,6.603,12.097,6.603,1,zero
171,40,32398.26,63.0,0.062,8.738,25.0,8.738,1,zero
172,57,47972.65,79.9,0.043,20.112,19.266,19.266,0,zero
173,33,31848.34,93.7,0.042,2.532,25.0,2.532,1,zero
174,30,30108.75,72.4,0.094,7.692,25.0,7.692,1,zero
175,40,49563.95,75.5,0.064,41.021,4.375,4.375,0,zero
176,53,45408.87,76.8,0.117,17.609,25.0,17.609,1,zero
177,27,44200.13,54.0,0.059,12.41,15.142,12.41,1,zero
178,44,32165.35,65.9,0.119,2.555,3.836,2.555,1,zero
179,43,55516.28,64.9,0.048,21.534,25.0,21.534,1,zero
180,50,40173.88,78.3,0.039,8.955,21.313,8.955,1,zero
181,27,68562.28,77.2,0.058,75.886,24.295,24.295,0,zero
182,43,41933.99,68.8,0.11,18.834,16.636,16.636,0,zero
183,44,15000.0,64.3,0.077,23.894,25.0,23.894,1,zero
184,56,15000.0,53.1,0.042,13.27,25.0,13.27,1,zero
185,31,47487.4,69.8,0.048,20.456,24.377,20.456,1,zero
186,57,55605.93,60.5,0.058,18.62,0.838,0.838,0,zero
187,42,30594.06,59.2,0.083,18.923,25.0,18.923,1,zero
188,25,65211.75,79.3,0.06,36.388,7.275,7.275,0,zero
189,35,59955.99,78.2,0.097,6.235,20.348,6.235,1,zero
190,52,42526.56,65.1,0.085,12.018,25.0,12.018,1,zero
191,49,46473.45,54.3,0.109,4.93,0.288,0.288,0,zero
192,47,50734.36,61.7,0.075,21.101,25.0,21.101,1,zero
193,55,62679.94,79.9,0.06,26.269,25.0,25.0,0,zero
194,54,48185.63,74.7,0.12,40.798,7.252,7.252,0,zero
195,59,42255.18,65.3,0.062,14.478,25.0,14.478,1,zero
196,31,48067.61,70.6,0.069,32.765,7.368,7.368,0,zero
197,40,46448.32,49.3,0.103,8.475,25.0,8.475,1,zero
198,50,51092.92,48.5,0.038,10.356,3.887,3.887,0,zero
199,26,21159.72,89.8,0.065,36.678,25.0,25.0,0,zero
200,25,43790.24,75.1,0.038,34.705,13.146,13.146,0,zero
201,36,45525.29,70.0,0.043,24.36,17.038,17.038,0,zero
202,29,39125.83,66.0,0.03,11.816,11.318,11.318,0,zero
203,56,49410.0,52.4,0.031,17.535,25.0,17.535,1,zero
204,33,63054.01,79.9,0.064,52.154,16.194,16.194,0,zero
205,59,41658.61,58.6,0.103,5.914,25.0,5.914,1,zero
206,43,48300.65,77.0,0.083,24.455,9.532,9.532,0,zero
207,40,59275.18,71.3,0.087,17.174,25.0,17.174,1,zero
208,27,41938.77,69.5,0.077,7.512,4.579,4.579,0,zero
209,44,29338.44,57.0,0.104,15.572,3.657,3.657,0,zero
210,48,47389.35,57.1,0.109,6.047,8.469,6.047,1,zero
211,57,15000.0,73.9,0.106,5.009,1.041,1.041,0,zero
212,48,15000.0,70.8,0.103,14.043,10.916,10.916,0,zero
213,35,43996.14,70.5,0.046,27.541,25.0,25.0,0,zero
214,32,15000.0,72.9,0.083,7.578,23.541,7.578,1,zero
215,44,24217.99,50.6,0.082,20.546,25.0,20.546,1,zero
216,59,35438.82,80.2,0.078,6.725,15.602,6.725,1,zero
217,49,31343.0,66.4,0.073,34.925,9.36,9.36,0,zero
218,59,38226.32,81.7,0.038,19.916,25.0,19.916,1,zero
219,49,53354.44,49.9,0.039,12.173,11.173,11.173,0,zero
220,53,42861.77,75.7,0.111,5.413,25.0,5.413,1,zero
221,42,29928.16,75.6,0.087,9.71,18.101,9.71,1,zero
222,42,56253.29,55.1,0.054,9.069,20.652,9.069,1,zero
223,26,22853.71,63.6,0.055,17.515,6.398,6.398,0,zero
224,59,42662.6,59.4,0.085,8.371,6.031,6.031,0,zero
225,40,21518.97,78.6,0.067,8.953,14.132,8.953,1,zero
226,57,43027.81,73.1,0.07,19.586,14.15,14.15,0,zero
227,28,36176.47,86.0,0.035,13.037,5.449,5.449,0,zero
228,57,52986.85,72.0,0.042,18.295,14.687,14.687,0,zero
229,38,48648.27,77.3,0.065,10.505,25.0,10.505,1,zero
230,45,32954.33,81.7,0.093,19.62,15.983,15.983,0,zero
231,44,30652.72,75.5,0.034,17.743,25.0,17.743,1,zero
232,32,36218.84,66.2,0.06,26.202,14.807,14.807,0,zero
233,31,62506.86,64.3,0.093,6.428,25.0,6.428,1,zero
234,27,59428.82,69.2,0.101,13.11,24.504,13.11,1,zero
235,41,28380.78,78.0,0.047,6.715,22.777,6.715,1,zero
236,57,49602.7,62.3,0.096,6.407,12.588,6.407,1,zero
237,36,19222.82,76.5,0.116,4.258,12.209,4.258,1,zero
238,46,34631.89,73.2,0.112,13.903,25.0,13.903,1,zero
239,46,28869.23,57.5,0.101,11.671,0.694,0.694,0,zero
240,54,52831.35,76.0,0.094,27.052,25.0,25.0,0,zero
241,32,24511.39,71.4,0.051,12.911,25.0,12.911,1,zero
242,51,45152.2,64.5,0.087,13.884,17.409,13.884,1,zero
243,51,40008.52,71.3,0.088,37.982,10.331,10.331,0,zero
244,58,37894.61,64.9,0.067,11.714,25.0,11.714,1,zero
245,45,60059.0,72.5,0.074,22.491,17.264,17.264,0,zero
246,54,61116.37,68.3,0.092,52.05,25.0,25.0,0,zero
247,57,38267.29,54.7,0.116,28.329,25.0,25.0,0,zero
248,52,35849.0,68.6,0.057,11.027,25.0,11.027,1,zero
249,57,21917.52,65.6,0.052,11.352,25.0,11.352,1,zero
250,29,39948.89,76.4,0.084,18.63,25.0,18.63,1,zero
251,43,63439.64,78.8,0.042,34.682,25.0,25.0,0,zero
252,28,38455.18,64.9,0.082,36.984,5.395,5.395,0,zero
253,59,48745.11,62.1,0.038,9.391,13.563,9.391,1,zero
254,41,23230.03,53.2,0.074,16.688,25.0,16.688,1,zero
255,52,34782.7,61.9,0.086,13.777,25.0,13.777,1,zero
256,54,45549.58,66.8,0.036,9.49,13.811,9.49,1,zero
257,53,41270.35,56.6,0.049,19.156,14.5,14.5,0,zero
258,30,49896.01,78.9,0.06,20.955,7.988,7.988,0,zero
259,59,32767.94,72.6,0.063,4.33,25.0,4.33,1,zero
260,48,19000.14,68.8,0.091,29.019,15.309,15.309,0,zero
261,53,53465.08,69.8,0.078,13.77,25.0,13.77,1,zero
262,55,28766.21,73.1,0.064,11.825,25.0,11.825,1,zero
263,59,46079.25,76.3,0.071,22.345,9.097,9.097,0,zero
264,57,45410.28,78.1,0.031,36.525,25.0,25.0,0,zero
265,45,20034.96,66.9,0.099,18.14,25.0,18.14,1,zero
266,56,52589.51,68.6,0.034,16.501,25.0,16.501,1,zero
267,47,33201.19,71.7,0.105,13.058,12.595,12.595,0,zero
268,57,40660.66,68.2,0.079,7.869,15.986,7.869,1,zero
269,27,35701.81,78.7,0.078,18.145,25.0,18.145,1,zero
270,42,59471.1,82.3,0.093,49.207,16.775,16.775,0,zero
271,49,56121.88,73.4,0.107,23.842,9.69,9.69,0,zero
272,55,18251.98,60.9,0.115,0.794,25.0,0.794,1,zero
273,27,67105.93,75.1,0.079,11.408,25.0,11.408,1,zero
274,48,31860.32,73.8,0.044,28.065,3.856,3.856,0,zero
275,56,65229.24,60.1,0.109,26.425,23.77,23.77,0,zero
276,46,36925.49,73.8,0.034,15.013,25.0,15.013,1,zero
277,47,35909.0,64.6,0.103,14.169,25.0,14.169,1,zero
278,26,37032.07,77.5,0.091,12.956,10.03,10.03,0,zero
279,51,35190.52,75.0,0.111,18.956,23.498,18.956,1,zero
280,26,70292.76,72.2,0.111,33.839,25.0,25.0,0,zero
281,50,39083.64,70.4,0.035,19.409,13.313,13.313,0,zero
282,41,36372.44,48.7,0.085,9.281,0.552,0.552,0,zero
283,57,40924.13,57.9,0.041,10.337,15.493,10.337,1,zero
284,33,28391.98,68.7,0.037,8.448,23.252,8.448,1,zero
285,53,59165.45,85.2,0.07,44.977,22.119,22.119,0,zero
286,50,22347.03,75.6,0.039,26.08,25.0,25.0,0,zero
287,59,32631.9,88.1,0.096,19.894,16.241,16.241,0,zero
288,49,51239.92,70.8,0.117,32.068,25.0,25.0,0,zero
289,48,40508.23,69.7,0.081,17.676,25.0,17.676,1,zero
290,37,46590.58,84.3,0.051,12.824,25.0,12.824,1,zero
291,31,58397.97,68.4,0.106,32.499,24.095,24.095,0,zero
292,44,52045.62,60.1,0.107,10.916,25.0,10.916,1,zero
293,25,41649.72,73.2,0.096,17.949,25.0,17.949,1,zero
294,32,65072.11,81.2,0.085,18.28,12.724,12.724,0,zero
295,40,32459.97,61.7,0.108,10.559,24.478,10.559,1,zero
296,38,38796.28,75.9,0.045,23.405,17.25,17.25,0,zero
297,36,39634.72,69.1,0.114,5.621,15.74,5.621,1,zero
298,47,38770.94,74.5,0.115,4.81,13.11,4.81,1,zero
299,39,27169.47,73.1,0.108,16.697,17.517,16.697,1,zero
300,52,20996.2,65.9,0.053,15.152,16.6,15.152,1,zero
301,58,45006.42,68.9,0.107,12.901,22.571,12.901,1,zero
302,26,32398.31,66.5,0.075,8.316,25.0,8.316,1,zero
303,56,62893.71,71.2,0.084,15.325,25.0,15.325,1,zero
304,47,39129.49,61.5,0.106,17.826,25.0,17.826,1,zero
305,46,36982.13,63.9,0.033,18.541,19.995,18.541,1,zero
306,49,53132.08,65.9,0.063,6.052,4.246,4.246,0,zero
307,46,44826.31,73.9,0.103,36.866,25.0,25.0,0,zero
308,46,37893.79,55.8,0.103,6.465,25.0,6.465,1,zero
309,30,32311.22,68.9,0.106,8.489,11.103,8.489,1,zero
310,39,83892.42,62.9,0.045,28.3,12.992,12.992,0,zero
311,57,44341.43,65.9,0.094,8.739,25.0,8.739,1,zero
312,32,53013.15,63.4,0.043,57.473,12.027,12.027,0,zero
313,29,27724.65,71.9,0.101,4.45,18.584,4.45,1,zero
314,28,33064.18,68.4,0.052,12.153,12.059,12.059,0,zero
315,30,65348.15,77.1,0.096,22.279,25.0,22.279,1,zero
316,56,56763.17,74.0,0.071,16.372,2.4,2.4,0,zero
317,54,45491.47,54.6,0.119,1.353,25.0,1.353,1,zero
318,59,35421.15,60.4,0.082,3.073,21.791,3.073,1,zero
319,40,37191.57,68.3,0.087,8.975,19.784,8.975,1,zero
320,37,31886.67,69.6,0.063,16.021,17.352,16.021,1,zero
321,54,26117.81,61.3,0.096,13.635,12.888,12.888,0,zero
322,43,51086.13,83.0,0.075,26.71,25.0,25.0,0,zero
323,41,46465.97,78.6,0.032,22.341,25.0,22.341,1,zero
324,43,48832.95,53.6,0.085,11.885,20.4,11.885,1,zero
325,52,35957.22,73.5,0.105,21.802,7.739,7.739,0,zero
326,50,43067.67,69.5,0.051,13.728,10.586,10.586,0,zero
327,50,34815.47,82.4,0.05,10.2,25.0,10.2,1,zero
328,47,31272.3,54.3,0.085,12.595,9.277,9.277,0,zero
329,33,60004.75,90.6,0.104,36.41,12.349,12.349,0,zero
330,36,41458.09,61.6,0.052,13.69,16.163,13.69,1,zero
331,25,46089.45,73.8,0.114,3.493,10.944,3.493,1,zero
332,25,50029.05,63.9,0.113,6.701,19.826,6.701,1,zero
333,58,41608.49,66.2,0.048,21.491,25.0,21.491,1,zero
334,56,42887.59,53.1,0.054,2.849,17.951,2.849,1,zero
335,49,26960.5,82.0,0.093,14.046,25.0,14.046,1,zero
336,25,29246.62,67.3,0.116,7.535,25.0,7.535,1,zero
337,40,28626.22,68.0,0.094,7.192,7.851,7.192,1,zero
338,29,47265.5,93.1,0.07,16.961,19.886,16.961,1,zero
339,46,40850.69,79.6,0.045,3.41,25.0,3.41,1,zero
340,53,29247.62,63.3,0.071,5.083,25.0,5.083,1,zero
341,27,46961.19,63.9,0.085,24.458,14.565,14.565,0,zero
342,36,46521.48,72.6,0.06,19.27,22.804,19.27,1,zero
343,50,31660.41,77.7,0.076,20.286,25.0,20.286,1,zero
344,40,39666.07,87.5,0.042,5.221,8.033,5.221,1,zero
345,46,46565.7,53.9,0.071,25.627,25.0,25.0,0,zero
346,53,29699.74,77.3,0.038,40.714,25.0,25.0,0,zero
347,38,46794.72,78.9,0.034,2.585,23.594,2.585,1,zero
348,52,43612.28,62.1,0.107,28.957,25.0,25.0,0,zero
349,29,28009.6,66.4,0.048,9.233,25.0,9.233,1,zero
350,54,42637.56,53.7,0.082,14.801,5.598,5.598,0,zero
351,29,44387.78,65.0,0.043,13.521,25.0,13.521,1,zero
352,36,32487.99,72.3,0.054,16.351,4.396,4.396,0,zero
353,40,33432.6,85.9,0.063,17.268,25.0,17.268,1,zero
354,50,27898.96,86.9,0.043,11.081,25.0,11.081,1,zero
355,50,34612.01,59.7,0.034,16.916,25.0,16.916,1,zero
356,45,39855.02,84.6,0.109,18.203,20.823,18.203,1,zero
357,57,33465.73,50.5,0.031,9.969,12.819,9.969,1,zero
358,54,22181.35,64.2,0.036,26.373,25.0,25.0,0,zero
359,47,31736.94,67.0,0.102,24.795,1.682,1.682,0,zero
360,34,34992.49,72.5,0.055,38.854,25.0,25.0,0,zero
361,29,49802.06,71.1,0.095,38.59,25.0,25.0,0,zero
362,58,47137.18,73.7,0.043,9.1,12.482,9.1,1,zero
363,55,50034.65,68.2,0.051,11.434,21.506,11.434,1,zero
364,34,31131.77,79.6,0.082,9.462,25.0,9.462,1,zero
365,43,41698.61,76.9,0.119,41.25,25.0,25.0,0,zero
366,56,15000.0,67.1,0.037,3.991,8.214,3.991,1,zero
367,25,45147.04,78.4,0.066,18.517,25.0,18.517,1,zero
368,29,47330.77,90.7,0.034,14.553,25.0,14.553,1,zero
369,28,35780.5,63.3,0.048,9.873,17.032,9.873,1,zero
370,40,43545.16,86.8,0.112,10.997,7.624,7.624,0,zero
371,48,21820.91,64.2,0.039,13.237,8.227,8.227,0,zero
372,40,30387.2,84.1,0.107,4.363,10.866,4.363,1,zero
373,26,49185.39,64.5,0.046,24.799,25.0,24.799,1,zero
374,52,46135.04,77.7,0.108,23.85,25.0,23.85,1,zero
375,56,35057.75,71.8,0.078,17.378,4.958,4.958,0,zero
376,51,49736.35,52.1,0.109,5.364,25.0,5.364,1,zero
377,44,41659.58,89.2,0.044,39.239,10.144,10.144,0,zero
378,48,33949.35,61.0,0.099,16.72,6.136,6.136,0,zero
379,36,37806.07,57.3,0.091,0.912,14.401,0.912,1,zero
380,59,34534.99,63.6,0.079,14.479,25.0,14.479,1,zero
381,57,25794.69,95.3,0.103,17.126,7.768,7.768,0,zero
382,57,55080.23,57.5,0.088,12.941,17.136,12.941,1,zero
383,36,33183.71,71.8,0.109,3.19,25.0,3.19,1,zero
384,27,30011.67,58.8,0.064,16.864,25.0,16.864,1,zero
385,25,21647.82,60.5,0.083,19.991,15.827,15.827,0,zero
386,57,15000.0,54.0,0.108,4.277,6.954,4.277,1,zero
387,34,48417.96,73.2,0.049,27.166,25.0,25.0,0,zero
388,53,49523.3,68.4,0.074,11.293,25.0,11.293,1,zero
389,37,54316.46,58.7,0.116,18.64,25.0,18.64,1,zero
390,36,38211.53,78.7,0.073,14.494,7.232,7.232,0,zero
391,55,36136.09,79.8,0.053,9.44,8.641,8.641,0,zero
392,26,33907.32,74.1,0.062,33.233,25.0,25.0,0,zero
393,59,35001.31,81.7,0.11,16.868,25.0,16.868,1,zero
394,47,53437.48,66.5,0.116,11.621,25.0,11.621,1,zero
395,41,39681.82,73.2,0.116,13.058,25.0,13.058,1,zero
396,50,44536.85,66.5,0.093,17.96,8.761,8.761,0,zero
397,32,34695.92,54.9,0.076,22.685,0.738,0.738,0,zero
398,53,55850.17,72.2,0.046,23.358,25.0,23.358,1,zero
399,50,17143.13,71.6,0.041,11.043,3.488,3.488,0,zero
400,34,25353.71,69.7,0.035,33.881,2.751,2.751,0,zero
401,50,44556.53,73.7,0.032,24.861,25.0,24.861,1,zero
402,58,61007.33,84.1,0.109,6.708,7.371,6.708,1,zero
403,31,37298.8,68.0,0.103,17.391,16.313,16.313,0,zero
404,28,29891.55,60.4,0.081,12.36,1.061,1.061,0,zero
405,35,52007.95,67.5,0.12,28.396,7.394,7.394,0,zero
406,53,43884.38,68.6,0.116,2.728,5.854,2.728,1,zero
407,49,55482.57,79.8,0.089,15.86,25.0,15.86,1,zero
408,45,24515.79,71.1,0.072,8.388,25.0,8.388,1,zero
